,B9A064,O00391,O14791,O43866,O95445,P00488,P00734,P00736,P00738,P00739,P00740,P00742,P00746,P00747,P00748,P00751,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01034,P01042,P01591,P01593,P01599,P01615,P01619,P01700,P01701,P01764,P01766,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02533,P02647,P02649,P02652,P02654,P02655,P02656,P02671,P02675,P02679,P02741,P02743,P02745,P02746,P02747,P02748,P02749,P02751,P02753,P02760,P02763,P02765,P02766,P02768,P02774,P02775,P02776,P02787,P02788,P02790,P03951,P03952,P04003,P04004,P04070,P04114,P04196,P04217,P04264,P04406,P04433,P05090,P05106,P05154,P05155,P05156,P05452,P05546,P06312,P06396,P06702,P06727,P06733,P07225,P07357,P07358,P07360,P07737,P07996,P08514,P08519,P08603,P08697,P08709,P09871,P0C0L4,P0C0L5,P0DJI8,P0DOY2,P0DOY3,P10643,P10720,P10909,P11142,P11226,P12259,P12814,P13645,P13671,P14618,P15169,P17936,P18065,P18206,P18428,P19652,P19823,P19827,P20851,P22352,P22891,P23142,P23528,P25311,P27169,P27918,P35443,P35527,P35542,P35579,P35858,P35908,P36955,P39039,P43652,P48740,P49747,P49908,P55056,P60709,P61224,P62937,P63104,P67936,P68366,P68871,P69905,P69905,P80748,P81605,Q03591,Q04756,Q06033,Q13103,Q13201,Q13790,Q14520,Q14624,Q5TB80,Q6Q788,Q86UX7,Q92954,Q96IY4,Q96PD5,Q9BXR6,Q9UGM5,Q9UK55,Q9Y490
P01042,0.16369048,0.24485373,0.21696801,0.21720117,0.16060606,0.2464403,0.25429976,0.24559471,0.23702665,0.21794872,0.23552631,0.25891677,0.17313433,0.23505977,0.23769508,0.25556734,0.24629879,0.24752475,0.24151967,0.2540761,0.20833333,0.19593023,0.19826087,0.13978495,1.0,0.13829787,0.120610684,0.117737,0.124042876,0.11728395,0.12,0.12713179,0.11024845,0.119195044,0.22130014,0.22607489,0.22337662,0.22821577,0.23218997,0.23620933,0.22765364,0.22793148,0.20833333,0.19533528,0.11162791,0.099071205,0.116099074,0.097826086,0.23984143,0.2486631,0.24396783,0.18376723,0.18931298,0.18484849,0.18249258,0.17417417,0.24625,0.21327683,0.15277778,0.16463415,0.22364673,0.1669219,0.22191012,0.14769231,0.25746268,0.25302827,0.13097073,0.10752688,0.24858116,0.2424581,0.2320955,0.25210086,0.26060605,0.24606061,0.24728261,0.23066667,0.10492881,0.27118644,0.2342932,0.2150289,0.20226309,0.12172573,0.16490166,0.24605678,0.24786325,0.24701196,0.25710753,0.16992481,0.2433121,0.12364761,0.24610592,0.12093023,0.23239437,0.24343015,0.23995535,0.25686976,0.2580645,0.16415663,0.13824885,0.22738002,0.2326389,0.1691423,0.22296296,0.24736843,0.2338177,0.24382022,0.19318816,0.19273743,0.1257764,0.11472868,0.11627907,0.23,0.10719755,0.2311828,0.25605536,0.19908117,0.16144684,0.24427481,0.2195122,0.23386343,0.23598436,0.23368146,0.2005988,0.19225252,0.21474358,0.2388664,0.16691957,0.24630997,0.25094697,0.1844078,0.17507419,0.22829132,0.2546083,0.15267175,0.20353982,0.21191135,0.23293173,0.22885129,0.22584541,0.12878788,0.16990533,0.24634147,0.227758,0.24195804,0.1875,0.26065162,0.25028703,0.23386243,0.23108666,0.12730062,0.21720733,0.16310975,0.14637904,0.18032786,0.1849624,0.22005208,0.14285715,0.13384615,0.13384615,0.11728395,0.114374034,0.20669578,0.23181818,0.24563107,0.17602427,0.22112462,0.21776505,0.25761423,0.2340824,0.20229265,0.21726619,0.23642534,0.19079837,0.22623828,0.24968944,0.25124377,0.24084507,0.23364486,0.14613292
P01591,0.24124514,0.13395226,0.20338982,0.21978022,0.2706422,0.14709851,0.16031747,0.14127424,0.1943128,0.20994475,0.18404908,0.18292683,0.21505377,0.13144962,0.14649682,0.13151042,0.17857143,0.17579909,0.19274376,0.16872428,0.08672087,0.083433375,0.08174224,0.28282827,0.13829787,1.0,0.23404256,0.22994652,0.22459893,0.23756906,0.2173913,0.23369566,0.25287357,0.23913044,0.19424461,0.19221412,0.17456897,0.18491484,0.18997912,0.17577197,0.18581907,0.1602434,0.21631205,0.2012012,0.23809524,0.22560975,0.22807017,0.21511628,0.12514351,0.18290259,0.19130434,0.2527881,0.2570281,0.22463769,0.21212122,0.19787987,0.15289983,0.2093664,0.055712555,0.25652173,0.2,0.25,0.19796954,0.24884793,0.15472312,0.18661258,0.23589744,0.24022347,0.13983051,0.14305751,0.17190775,0.15955766,0.15658915,0.15920398,0.1680498,0.18259023,0.032653954,0.16171004,0.1669903,0.12650603,0.21348314,0.23626374,0.24894515,0.13147914,0.18313253,0.17092338,0.15806988,0.23770492,0.17913386,0.22162162,0.13682865,0.20707071,0.19323671,0.1936937,0.14580265,0.15166667,0.16470589,0.21721311,0.24875621,0.10119048,0.104606524,0.063725494,0.10235581,0.16338582,0.1865828,0.14714286,0.075558096,0.075558096,0.25543478,0.22279793,0.22279793,0.1273585,0.23243243,0.19396552,0.1518405,0.23595506,0.060701437,0.11915368,0.13477537,0.120726496,0.17041199,0.17659575,0.2262295,0.21052632,0.09779736,0.17234468,0.25101215,0.119324185,0.11925602,0.24210526,0.22393823,0.2004717,0.13597734,0.25821596,0.22929937,0.208,0.16115703,0.11434511,0.12695925,0.22727273,0.06530612,0.1323764,0.12671755,0.21527778,0.2518797,0.15346535,0.14104372,0.13385826,0.19387755,0.26630434,0.2025641,0.27272728,0.24761905,0.2413793,0.2241993,0.17864923,0.26595744,0.24352331,0.24352331,0.21910113,0.22580644,0.21802326,0.1370482,0.121348314,0.22177419,0.10081301,0.1859155,0.15130435,0.11884368,0.08125445,0.1775457,0.13353115,0.075337596,0.18850575,0.15228426,0.16637781,0.21446384,0.1875,0.054287963
P01593,0.23504274,0.10933334,0.17690417,0.16120219,0.22167487,0.11548913,0.13001606,0.1145686,0.16945107,0.176781,0.15800866,0.14545454,0.20522387,0.10674847,0.12096774,0.11749347,0.14806867,0.15617716,0.16397229,0.15289256,0.06983051,0.06193626,0.060822897,0.26744187,0.120610684,0.23404256,1.0,0.8305085,0.5564516,0.63559324,0.4848485,0.48031497,0.31333333,0.29166666,0.16915423,0.17,0.15638767,0.17444718,0.14730291,0.1725,0.16,0.13502109,0.19636364,0.17391305,0.26206896,0.25,0.2826087,0.27272728,0.093533486,0.14807302,0.16043957,0.23728813,0.22083333,0.203125,0.20075758,0.234375,0.13523132,0.16292135,0.044390637,0.24434389,0.17403315,0.22477064,0.16981132,0.24,0.12091503,0.1509434,0.2611465,0.27142859,0.12017167,0.1209564,0.16666667,0.12779553,0.125972,0.1338843,0.14906833,0.14225054,0.024983563,0.124535315,0.14658634,0.106481485,0.18367347,0.6666667,0.2451923,0.11518987,0.17391305,0.14003944,0.12941177,0.21875,0.1471173,0.62204725,0.11210191,0.2035928,0.16256158,0.15981735,0.12573099,0.13874789,0.12816189,0.23831776,0.26347306,0.0784983,0.08933718,0.049509805,0.07785888,0.14398421,0.15368421,0.11832612,0.059598856,0.059598856,0.26923078,0.23684211,0.23684211,0.09845789,0.25,0.14379086,0.1196319,0.21317829,0.04676259,0.10089686,0.11148649,0.09284952,0.1359404,0.15118791,0.19063546,0.18484849,0.08017621,0.15289256,0.21681416,0.09282701,0.102957286,0.19101124,0.21008404,0.1724138,0.11931818,0.22395833,0.1986755,0.18956044,0.14495799,0.090248965,0.10845295,0.28143713,0.05102041,0.13136289,0.1012461,0.16550116,0.20930232,0.12479201,0.115983024,0.106159896,0.16120906,0.24844721,0.17631578,0.19534884,0.22513089,0.20912547,0.19330855,0.14444445,0.23033708,0.23636363,0.23636363,0.43307087,0.26,0.17291066,0.1263318,0.09529148,0.20600858,0.072416596,0.19461077,0.14184397,0.09656652,0.069137566,0.17789757,0.11994003,0.0569395,0.14705883,0.13816926,0.12564544,0.17283951,0.14988814,0.042109407
P01599,0.2532751,0.11333334,0.16873449,0.16756757,0.23364486,0.114285715,0.1264,0.115655854,0.16385542,0.17759563,0.15203427,0.15102041,0.1923077,0.10332103,0.13322632,0.108072914,0.15138593,0.16197184,0.16511628,0.15670103,0.06635071,0.06189904,0.062052507,0.24861878,0.117737,0.22994652,0.8305085,1.0,0.54471546,0.62184876,0.46268657,0.4496124,0.29032257,0.27333334,0.16790123,0.17412935,0.15638767,0.17079207,0.15157895,0.18,0.17424242,0.14587738,0.20577617,0.18042813,0.26206896,0.26086956,0.28873238,0.2733813,0.09699769,0.148,0.1521739,0.24680851,0.23553719,0.20149253,0.20454545,0.21875,0.12743363,0.17270195,0.043565955,0.23696682,0.17728531,0.21610169,0.17204301,0.25698325,0.12091503,0.15176715,0.26666668,0.26206896,0.122857146,0.11220197,0.16239317,0.12939297,0.13530326,0.13879599,0.14968815,0.15319149,0.024106948,0.13018867,0.15353535,0.10461538,0.17630059,0.62184876,0.23671497,0.1142132,0.16746412,0.1476378,0.13162394,0.21860465,0.14484127,0.592,0.11253197,0.22147651,0.15920398,0.15102975,0.12922174,0.13527398,0.11892797,0.23111111,0.2638037,0.0794193,0.08846154,0.048529413,0.07717303,0.156,0.1656051,0.119186044,0.059025787,0.059025787,0.2631579,0.2631579,0.2631579,0.09165687,0.25675675,0.14285715,0.11746522,0.22352941,0.047212232,0.09709822,0.110738255,0.101387404,0.12945591,0.14989293,0.2080537,0.18507463,0.08281938,0.16322315,0.23175965,0.09148265,0.10733844,0.19101124,0.22689076,0.1740196,0.11789773,0.21717171,0.21518987,0.18406594,0.14884695,0.09034268,0.10793651,0.2795031,0.0509684,0.13322368,0.10429448,0.17523365,0.22137405,0.120462045,0.115983024,0.11023622,0.16202532,0.251497,0.19121447,0.21327014,0.23076923,0.19767442,0.20149253,0.1419214,0.23033708,0.25301206,0.25301206,0.43076923,0.27891156,0.18484849,0.12613982,0.09550562,0.22413793,0.07736156,0.2030303,0.14867257,0.10107527,0.06980057,0.184,0.12332838,0.05752841,0.16235293,0.13597246,0.12607944,0.17456359,0.14508928,0.04250295
P01615,0.24894515,0.11466666,0.17121588,0.1943662,0.24489796,0.117486335,0.1364366,0.12078652,0.16985646,0.19886364,0.15948276,0.14867617,0.21481481,0.10960591,0.13128039,0.11764706,0.15889831,0.17906977,0.17096019,0.14492753,0.068474576,0.065544195,0.062052507,0.2762431,0.124042876,0.22459893,0.5564516,0.54471546,1.0,0.62601626,0.48091602,0.4496124,0.30322582,0.30463576,0.17936118,0.1773399,0.17180617,0.18316832,0.1552795,0.17293233,0.1775,0.14049587,0.2189781,0.2,0.26241136,0.28467155,0.28965518,0.25874126,0.096551724,0.14949495,0.1619256,0.24034335,0.23404256,0.21212122,0.20300752,0.22983871,0.14590748,0.18857142,0.04479419,0.23853211,0.1966759,0.22272727,0.16842106,0.25405404,0.125817,0.15560167,0.24390244,0.24342105,0.12714286,0.12957746,0.15483871,0.1323764,0.13615024,0.14119601,0.1532091,0.17094018,0.02586018,0.13773584,0.152,0.10958904,0.18208092,0.6147541,0.22274882,0.11772152,0.16666667,0.15079366,0.1292517,0.22580644,0.15019763,0.661157,0.11253197,0.23809524,0.1675,0.16933638,0.13293944,0.13412564,0.13781513,0.26106194,0.28915662,0.0801364,0.096928984,0.05,0.08279221,0.15322581,0.16382979,0.12626995,0.06135321,0.06135321,0.26785713,0.24489796,0.24657534,0.103896104,0.2278481,0.15384616,0.1251932,0.21268657,0.050809354,0.10502794,0.11260504,0.094983995,0.14205608,0.16414687,0.21070234,0.1951952,0.08465608,0.16359918,0.2072072,0.09714889,0.09857612,0.21052632,0.24358974,0.16707022,0.118644066,0.21890548,0.20578778,0.1897019,0.15031315,0.09043659,0.10651828,0.27272728,0.048954614,0.13452189,0.10185185,0.17577197,0.22222222,0.12417219,0.11914894,0.11140236,0.1675,0.2625,0.16145833,0.2364532,0.2408377,0.19924812,0.19029851,0.14790288,0.26035503,0.22560975,0.22560975,0.4469697,0.29496402,0.17428571,0.12937595,0.102908276,0.23873875,0.082113825,0.20178041,0.139823,0.103225805,0.07341411,0.1764706,0.1257485,0.061253563,0.15654206,0.1406518,0.14186852,0.18701299,0.1599099,0.04209284
P01619,0.25431034,0.11733333,0.15880893,0.17260274,0.24742268,0.11065574,0.1323764,0.121468924,0.1622276,0.17847025,0.1541756,0.154,0.19029851,0.11220715,0.1292407,0.11473273,0.15170941,0.15839243,0.17016317,0.15833333,0.06716418,0.064942874,0.06026253,0.24861878,0.11728395,0.23756906,0.63559324,0.62184876,0.62601626,1.0,0.4923077,0.47368422,0.35460994,0.34074074,0.16129032,0.16541353,0.15265487,0.16,0.15400843,0.16541353,0.17048346,0.1352459,0.1904762,0.20433436,0.25,0.25179857,0.31205675,0.26760563,0.10241657,0.15384616,0.15570176,0.23931624,0.22088353,0.22307692,0.2014652,0.22352941,0.13475177,0.18130311,0.044812273,0.22033899,0.1800554,0.22119816,0.17166212,0.25,0.124794744,0.15513627,0.2662722,0.23529412,0.117142856,0.12342216,0.15923567,0.1275917,0.12403101,0.14524207,0.16041666,0.15268818,0.02476441,0.13662238,0.15369262,0.10493827,0.16764706,0.9059829,0.23222749,0.10506329,0.16627078,0.14541833,0.13367175,0.25118482,0.14285715,0.647541,0.11494253,0.22077923,0.15037593,0.16475973,0.12665685,0.14334472,0.1323283,0.24774775,0.25157234,0.07948718,0.09143407,0.049485546,0.07879773,0.16465864,0.16059957,0.11510792,0.060779817,0.06020642,0.25903615,0.24324325,0.25490198,0.09478673,0.23717949,0.16814159,0.11728395,0.21455939,0.045863308,0.09865471,0.11375212,0.09850107,0.13883677,0.1583514,0.20983607,0.18507463,0.08098592,0.16016427,0.2372093,0.09558824,0.09539474,0.19391635,0.21186441,0.1662531,0.11315417,0.2364532,0.20983607,0.19008264,0.1564482,0.09147609,0.11128776,0.26744187,0.04844467,0.14402619,0.10752688,0.17370892,0.23346303,0.12748344,0.11965812,0.109354414,0.16927083,0.25465837,0.15748031,0.20476191,0.21693122,0.19771864,0.18726592,0.15964523,0.20994475,0.20555556,0.20555556,0.48062015,0.2847222,0.1754386,0.12652439,0.09529148,0.20704846,0.07380373,0.21084337,0.13523132,0.09344791,0.06685633,0.17195767,0.11659193,0.06192171,0.16550116,0.14041096,0.13414635,0.1796875,0.15144767,0.04209284
P01700,0.23175965,0.11037234,0.16829269,0.19318181,0.24413146,0.1097561,0.1323764,0.114893615,0.16136919,0.18384402,0.1468085,0.14460285,0.21673004,0.107407406,0.12841092,0.118489586,0.15665236,0.16587678,0.16235293,0.14196242,0.06775068,0.06186186,0.06384248,0.25609756,0.12,0.2173913,0.4848485,0.46268657,0.48091602,0.4923077,1.0,0.7948718,0.3265306,0.2893082,0.17804877,0.17892157,0.16150442,0.18137255,0.15592515,0.18316832,0.18939394,0.13664596,0.20350876,0.16816817,0.2536232,0.2519685,0.28467155,0.24817519,0.09815242,0.15384616,0.14692983,0.2347826,0.21888413,0.22007722,0.23076923,0.2238806,0.14081997,0.1875,0.043197416,0.24347825,0.19553073,0.22321428,0.16321243,0.24043716,0.12520325,0.15240084,0.2559524,0.25179857,0.12,0.118309855,0.15778251,0.13132912,0.125972,0.13266999,0.17184265,0.1541756,0.024983563,0.13043478,0.158,0.10923077,0.1958457,0.48818898,0.2173913,0.11139241,0.17961165,0.14341846,0.1294719,0.21982759,0.14257425,0.47328246,0.11381074,0.19875777,0.1725,0.1559633,0.12481645,0.13242784,0.13153458,0.25339368,0.25443786,0.07921635,0.09029779,0.048039217,0.07636068,0.15322581,0.15889831,0.12177651,0.061926607,0.061926607,0.27027026,0.2720588,0.2720588,0.09456265,0.19594595,0.14847161,0.12210201,0.20769231,0.04766187,0.09406495,0.11205433,0.097326204,0.14097744,0.15151516,0.20333333,0.17737003,0.081794195,0.16839917,0.22374429,0.094736844,0.09320176,0.19330855,0.23628692,0.17777778,0.12357955,0.24157304,0.1921824,0.1780822,0.1509434,0.09147609,0.10350318,0.28846154,0.049923588,0.13366337,0.10625,0.16509435,0.2159091,0.13719009,0.11315417,0.10817942,0.18205129,0.25641027,0.15671642,0.2037037,0.2113402,0.20392157,0.18846154,0.15555556,0.22413793,0.20879121,0.20879121,0.5691057,0.2986111,0.1756374,0.12613982,0.09865471,0.21304348,0.07736156,0.20121951,0.15151516,0.09452202,0.068424806,0.17553191,0.12238806,0.059074733,0.16393442,0.13745704,0.13471502,0.17783505,0.14128035,0.04250295
P01701,0.22321428,0.12165775,0.17079207,0.17897727,0.24019608,0.11413044,0.12779553,0.11723164,0.16867469,0.17927171,0.14102565,0.15243903,0.2264151,0.1046798,0.11942675,0.119791664,0.16525424,0.1615925,0.17411764,0.15546219,0.06775068,0.06062425,0.059630293,0.24,0.12713179,0.23369566,0.48031497,0.4496124,0.4496124,0.47368422,0.7948718,1.0,0.30322582,0.28301886,0.18271606,0.17955112,0.16150442,0.18159205,0.15866388,0.18656716,0.18592964,0.14107884,0.21611722,0.16975309,0.25974026,0.24031007,0.2877698,0.25,0.102771364,0.1437247,0.15686275,0.23728813,0.22222222,0.23282443,0.22710623,0.23015873,0.13214286,0.18361582,0.045215987,0.19831224,0.18487395,0.22707424,0.17158177,0.25142857,0.12091503,0.13958333,0.26946107,0.24666667,0.12,0.11781206,0.14556962,0.1291866,0.13145539,0.12978369,0.1563786,0.16239317,0.024983563,0.1393597,0.15631263,0.106481485,0.17159763,0.4765625,0.21658987,0.11026616,0.16949153,0.14741036,0.13504274,0.22171946,0.14822134,0.47761193,0.111253195,0.2356688,0.160401,0.15765765,0.119469024,0.13752122,0.12984823,0.21585903,0.27096775,0.0794193,0.09125841,0.05147059,0.080161944,0.14512922,0.1627409,0.10901163,0.060710195,0.060710195,0.23809524,0.2642857,0.2642857,0.09681228,0.22435898,0.1419214,0.116385914,0.22813688,0.047212232,0.093959734,0.11433447,0.09294872,0.12921348,0.1521739,0.21,0.18694362,0.07908612,0.1714876,0.24311927,0.09905163,0.099671416,0.2,0.21138212,0.15594059,0.1145686,0.23404256,0.2019544,0.17955801,0.15010571,0.092515595,0.10191083,0.24561404,0.050458714,0.12357724,0.10920437,0.16393442,0.24031007,0.12790698,0.11412268,0.1118421,0.17829457,0.23428571,0.15466666,0.2037037,0.2263158,0.1969697,0.16728625,0.14823009,0.23595506,0.21764706,0.21764706,0.60330576,0.28671327,0.18768328,0.12937595,0.0976431,0.20987654,0.07899023,0.19402985,0.15535714,0.1,0.06557377,0.16886544,0.12556054,0.06325515,0.1574074,0.1401384,0.13612565,0.17402597,0.15299335,0.042896498
P01764,0.24561404,0.11081442,0.18362282,0.1994382,0.24242425,0.11564626,0.13578275,0.11739746,0.1809291,0.19602273,0.16488223,0.14837398,0.2264151,0.10591133,0.1280389,0.11111111,0.14042553,0.15330188,0.15617716,0.16390042,0.07055631,0.063100964,0.062052507,0.27325583,0.11024845,0.25287357,0.31333333,0.29032257,0.30322582,0.35460994,0.3265306,0.30322582,1.0,0.84615386,0.16461916,0.16915423,0.15198238,0.16995074,0.14876033,0.16790123,0.16541353,0.14556962,0.17132868,0.19325154,0.2689655,0.29104477,0.27857143,0.26241136,0.10149942,0.15524194,0.15652174,0.23628692,0.23580787,0.22053231,0.20306513,0.2084942,0.14412811,0.17816092,0.04360113,0.2488263,0.17728531,0.21621622,0.17021276,0.27329192,0.12887439,0.15833333,0.27439025,0.25,0.11604585,0.1308017,0.15517241,0.1344,0.1203125,0.14023373,0.15352698,0.16309012,0.02476441,0.12689394,0.156,0.10599078,0.20408164,0.34285715,0.22421524,0.102402024,0.16826923,0.1388889,0.13822526,0.21428572,0.13916501,0.31875,0.11366539,0.20134228,0.1641791,0.16628702,0.12518409,0.12897822,0.12605043,0.23636363,0.251497,0.078431375,0.0875,0.050955415,0.07617504,0.15212981,0.15208334,0.1233672,0.061926607,0.060779817,0.25477707,0.24503312,0.23841059,0.10165485,0.24832214,0.16997792,0.12210201,0.2074074,0.04811151,0.09821428,0.1092437,0.097222224,0.14018692,0.15434782,0.21428572,0.2,0.07658451,0.15051547,0.23181818,0.094936706,0.098468274,0.21402214,0.22594142,0.16169155,0.11631206,0.2263158,0.19354838,0.18435754,0.15368421,0.09157128,0.10220126,0.25153375,0.05153061,0.14049587,0.10852713,0.17061612,0.234375,0.12417219,0.12108262,0.10671937,0.16284987,0.2948718,0.16195373,0.23880596,0.23762377,0.21259843,0.19245283,0.14823009,0.26857144,0.23655914,0.23655914,0.29710144,0.28275862,0.19526628,0.1231003,0.1027933,0.22707424,0.078175895,0.18862276,0.14007092,0.095596135,0.06699929,0.17021276,0.12053572,0.06049822,0.16473317,0.12847222,0.13884006,0.17602041,0.15231788,0.04248623
P01766,0.25108224,0.10828877,0.17326732,0.19662921,0.24120604,0.12005457,0.13141026,0.121985815,0.16428572,0.1859155,0.16025642,0.14227642,0.22178988,0.10960591,0.1280389,0.11879896,0.1416309,0.15294118,0.16513762,0.15145229,0.06915254,0.062462464,0.06026253,0.27108434,0.119195044,0.23913044,0.29166666,0.27333334,0.30463576,0.34074074,0.2893082,0.28301886,0.84615386,1.0,0.16953316,0.17617866,0.15638767,0.17530864,0.1557377,0.16748768,0.16582915,0.14705883,0.18928571,0.19877675,0.27659574,0.2913386,0.26666668,0.29496402,0.096885815,0.14979757,0.15789473,0.20940171,0.22413793,0.21839081,0.20377359,0.20610687,0.13701068,0.19546743,0.04238999,0.24413146,0.18836565,0.22767857,0.1689008,0.24581006,0.11707317,0.15592515,0.26666668,0.23972602,0.120910384,0.12727273,0.15698925,0.13716109,0.1234375,0.12479201,0.1565762,0.15086207,0.024983563,0.12665406,0.14541833,0.10413476,0.19174041,0.33582088,0.23636363,0.1071879,0.16428572,0.13465346,0.13798977,0.22869955,0.14173229,0.30921054,0.11111111,0.20253165,0.16089109,0.15753424,0.12536873,0.12374582,0.123128116,0.24299066,0.259887,0.0794193,0.08565929,0.050490197,0.07623682,0.15927419,0.15286624,0.11849711,0.059059635,0.06020642,0.28125,0.23870967,0.23225807,0.10320285,0.24342105,0.15550756,0.12345679,0.21804512,0.04766187,0.10313901,0.11035654,0.09421842,0.13883677,0.1670282,0.20394737,0.19461077,0.07834507,0.16155419,0.21212122,0.09513742,0.09539474,0.20664206,0.21399178,0.16666667,0.12073863,0.22916667,0.19292605,0.18156424,0.14345992,0.09365244,0.10509554,0.25153375,0.04897959,0.14168039,0.10559006,0.16706444,0.25609756,0.12685338,0.12017167,0.109067015,0.1528822,0.28289473,0.1640625,0.25252524,0.24864864,0.20689656,0.20754717,0.15536106,0.25714287,0.24096386,0.24096386,0.2857143,0.25165564,0.20353982,0.124242425,0.10325477,0.22173913,0.07404394,0.1981982,0.13903743,0.09247312,0.06766382,0.16976127,0.13244048,0.05832148,0.16511628,0.13368055,0.14010508,0.16751269,0.17002237,0.041322313
P01857,0.23255815,0.22140221,0.23853211,0.2581967,0.20506912,0.23135272,0.22644164,0.22957198,0.26819924,0.26495728,0.24955752,0.237691,0.21797752,0.21954022,0.24633431,0.23114957,0.2609457,0.26556778,0.26102942,0.2542662,0.16788808,0.15780036,0.15693216,0.19518073,0.22130014,0.19424461,0.16915423,0.16790123,0.17936118,0.16129032,0.17804877,0.18271606,0.16461916,0.16953316,1.0,0.91729325,0.8542601,0.92,0.31559634,0.3599138,0.35205182,0.23793103,0.25694445,0.22290389,0.15037593,0.14786968,0.1521197,0.14640199,0.20518602,0.24740484,0.24356775,0.23409091,0.22843823,0.22747748,0.22747748,0.2264574,0.23780487,0.248497,0.112806104,0.20238096,0.2407767,0.23255815,0.2548638,0.18826406,0.22857143,0.2621528,0.17037037,0.14851485,0.22568093,0.22827497,0.2609457,0.24063401,0.24200279,0.24427481,0.25128207,0.24131945,0.0738064,0.20926517,0.25,0.2045134,0.24346076,0.16748768,0.19858156,0.21046512,0.2542373,0.26,0.23430322,0.21939954,0.25297114,0.17317073,0.2235434,0.15594059,0.24282983,0.25531915,0.24965133,0.2347561,0.24886191,0.21113689,0.18271606,0.17801477,0.19447005,0.13000977,0.17474186,0.26020408,0.24867725,0.22178477,0.15039727,0.15096481,0.15085158,0.16584158,0.16584158,0.20754717,0.1439206,0.24863884,0.24113475,0.22902495,0.123324394,0.20150054,0.2086331,0.2083759,0.24797407,0.2591241,0.23517382,0.24123712,0.18049616,0.2512563,0.23598132,0.20429009,0.21458334,0.23991032,0.21266969,0.24767226,0.21979435,0.19858156,0.23467231,0.26559356,0.25535715,0.19215687,0.2,0.1622276,0.12632643,0.24071322,0.21368715,0.26923078,0.23842593,0.23043478,0.2368065,0.2125,0.25775194,0.17369728,0.24351297,0.21090047,0.1882353,0.23678161,0.20175439,0.22959183,0.19756098,0.19464721,0.19464721,0.18316832,0.16748768,0.24947146,0.23152022,0.21589689,0.2164009,0.1869984,0.27564102,0.24082935,0.19877675,0.16456583,0.24898785,0.22058824,0.14757554,0.24864864,0.2503888,0.24736048,0.2565543,0.25497288,0.11485692
P01859,0.22248805,0.22098765,0.23836127,0.26931107,0.20833333,0.22950819,0.22344828,0.22076215,0.26853707,0.2725367,0.25535715,0.23931624,0.21076234,0.21724138,0.23554914,0.2271605,0.25577265,0.2635514,0.24236985,0.25255972,0.16522318,0.15425849,0.15044248,0.1959799,0.22607489,0.19221412,0.17,0.17412935,0.1773399,0.16541353,0.17892157,0.17955112,0.16915423,0.17617866,0.91729325,1.0,0.8340807,0.9318182,0.32156134,0.35470086,0.34689507,0.24471831,0.22222222,0.22417153,0.15671642,0.15075377,0.15151516,0.1425,0.1986755,0.24190801,0.24909091,0.23006834,0.23855421,0.20879121,0.225058,0.22877358,0.2402496,0.25303644,0.11343524,0.19714965,0.23694779,0.22401847,0.2616633,0.19753087,0.23224851,0.2669039,0.17412935,0.15037593,0.22841966,0.21948051,0.26102293,0.24142857,0.23988843,0.24270353,0.24914676,0.24226804,0.07117827,0.21197411,0.24469821,0.2008427,0.23505977,0.16915423,0.20194647,0.213948,0.24456522,0.24623115,0.2316891,0.22429906,0.2538071,0.17079207,0.2244898,0.15517241,0.24319066,0.2632541,0.24438202,0.23584905,0.23388305,0.20754717,0.18446602,0.17514595,0.19758813,0.12445309,0.17422435,0.2681661,0.23499142,0.2228261,0.14920273,0.14537194,0.14769976,0.16049382,0.16049382,0.20719738,0.14285715,0.2450805,0.22696011,0.2361111,0.12600897,0.19849785,0.19599427,0.20518135,0.25365853,0.2595978,0.23340471,0.24123712,0.17918089,0.2630662,0.23877068,0.20183486,0.21294363,0.2321839,0.23185012,0.23917137,0.21614583,0.19626169,0.23126338,0.24746451,0.23928571,0.19287834,0.18356164,0.17114915,0.12746586,0.23723723,0.21241379,0.25952813,0.23023255,0.22812052,0.22739361,0.21631645,0.2632613,0.16080402,0.23506744,0.21190476,0.1875,0.23340961,0.23006834,0.2263158,0.20243903,0.18518518,0.18518518,0.17676768,0.16666667,0.25105485,0.23314607,0.21212122,0.22014052,0.18630573,0.27753305,0.2357595,0.20389344,0.15778401,0.24395162,0.22804533,0.14486639,0.25698325,0.23846154,0.2511628,0.25646123,0.2585895,0.11006289
